,Unnamed: 0,Sr. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details
235,235,236,02AHP0004344,Himachal Pradesh,2020-21,Shimla,Sh. Durga Singh,Village Tarapur PO Deha Taluka Theog District Shimla HP,23.0,5.99,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA0.06ACRE
236,236,237,02AHP0004191,Himachal Pradesh,2020-21,Shimla,Sh. Ramesh Chand,"Vill Shahedri, PO Kangal, Tehsil Kumharsain, Distt. Shimla (HP)-171019",21.56,9.63,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA0.06ACRE
237,237,238,02AHP0004222,Himachal Pradesh,2020-21,Shimla,Sh. Shamsher Singh,"Village Baral, PO Jharag Tehsil Rohroo Distt. Shimla-171206 (HP)",23.0,10.62,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA0.06ACRE
238,238,239,02AHP0CS000032,Himachal Pradesh,2020-21,Una,Zira Foods,"Village-Tahliwal, Taluka-Haroli, Dist-Una (Himachal Pradesh)",1672.15,363.99,NHB,Completed,COLD / CA STORAGECA STORAGE246368.00MT
239,239,240,02AHP0004415,Himachal Pradesh,2020-21,Shimla,Vinod Kumar,"Khasra No, 896 Village Tikkri, Tehsil Rohru Distt Shimla (HP).",18.24,7.82,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA0.06ACRE
240,240,241,02AHP0004372,Himachal Pradesh,2020-21,Shimla,Smt Kanta Devi,VPO-Tikkari Tehsil Chirgaon Distt Shimla HP-171208,23.0,10.19,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA0.06ACRE
241,241,242,02AHP0004375,Himachal Pradesh,2020-21,Shimla,Amarsain S/o Late Sh Saran,Vill-Denwari P.O-Khabal Tehsil-Chirgaon Distt ShimlaHP-171208,23.0,10.17,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA0.06ACRE
0,0,1,01JK20050000243,Jammu & Kashmir,2005-06,Jammu,Shri Ranjan Naspal & Nine others,J&K,0.0,1.14,NHB,Completed,COLD / CA STORAGECOLD STORAGE0114.00MT
1,1,2,01AJK0000142,Jammu & Kashmir,2005-06,Jammu,Rakesh Anand M/S EMCEES Commercial Co.,"M/s Emcees Commercial Comp. Plot No.65/67, Industrial Estate, Phase-3, Gangyal, Jammu",5.37,1.05,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
2,2,3,01AJK0000001,Jammu & Kashmir,2005-06,Jammu,Amar Singh & Sons,"Gangyal, Jammu & Kashmir",6.93,1.35,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
3,3,4,01AJK0000117,Jammu & Kashmir,2005-06,Kupwara,Hazi ghulam Mohad Kaboo S/o Ab. Ahad Kabool,"Gonipora, handwara, Kupwara-K(J&K)",1.92,0.38,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
4,4,5,01AJK0000062,Jammu & Kashmir,2005-06,Baramula,Abdul gani KhandayS/oGh. Mohd Khanday,"Lalad, Sopore, Barahmulla-K (J&K)",1.87,0.37,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
5,5,6,01AJK0000080,Jammu & Kashmir,2005-06,Anantnag,Ab. Rehman NengrooS/o Ab. salam Nengroo,"Sirhama, BhijBehara, Anantnag-K (J&K)",2.06,0.41,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
6,6,7,01AJK0000147,Jammu & Kashmir,2005-06,Anantnag,Gh. Mohd Lone S/o Moh. Sultan Lone,"Kanelwan, Bjibehara, anantnag-K (J&K)",2.06,0.2,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
7,7,8,01AJK0000048,Jammu & Kashmir,2005-06,Anantnag,Gh. Rasool Mir S/oAb. Ahad Mir,"Sirhama, BjiBehara Anantnag-K (J&K)",2.06,0.2,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
8,8,9,01AJK0000046,Jammu & Kashmir,2005-06,Anantnag,"Mrs. Hanifa Bannu, W/o. Sh. Doost Mohd. Khan","Check Ishirdas, Anantnag",2.06,0.41,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
9,9,10,01AJK0000076,Jammu & Kashmir,2005-06,Anantnag,"Mrs. Shash Mali, D/o. Ab.Sattar",Yar Khushipora,2.06,0.2,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
10,10,11,01AJK0000078,Jammu & Kashmir,2005-06,Anantnag,"Mrs. zaina Begam, W/o. Ab. Satar Bhat",R/o. Yar Khushipora,2.06,0.2,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
11,11,12,01AJK0000152,Jammu & Kashmir,2005-06,Pulwama,Mohd. Akbar Mir S/o Mohd. Abdullah Mir,"Achigoza Keller, Pulwama-K (J&K)",4.38,0.88,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
12,12,13,01AJK0000173,Jammu & Kashmir,2005-06,Jammu,M/S HansRaj Son''''''''''''''''''''''''''''''''s,"M/S Hansraj & Sons, Below Gumat, Jammu",19.66,6.14,NHB,Completed,POST HARVEST INFRASTRUCTUREPLASTIC CRATESNA2.00TONNES  POST HARVEST INFRASTRUCTURETRANSPORTNA2.00TONNES
13,13,14,01AJK0000172,Jammu & Kashmir,2005-06,Jammu,M/S N.S. Walnut Industries,"M/S N.S. Walnut Industries Poonch House Kabir Colony Talab-Tillo, Jammu",19.9,3.92,NHB,Completed,POST HARVEST INFRASTRUCTUREPLASTIC CRATESNA1.00TONNES  POST HARVEST INFRASTRUCTURETRANSPORTNA2.00TONNES
14,14,15,01AJK0000185,Jammu & Kashmir,2006-07,Srinagar,Mr. Farooq Ahmad Bhat S/o Gh. Rasool Bhat,"Watlar, Ganderbal, Srinagar- (J&K)",4.18,0.84,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
15,15,16,01AJK0000037,Jammu & Kashmir,2006-07,Baramula,"Gh. Mohammad Lone ,S/ o Ab. Ahad Lone","Ladoora, Sopore, Barahmulla-K(J&K)",1.96,0.39,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
16,16,17,01AJK0000200,Jammu & Kashmir,2006-07,Udhampur,Sh. Krishan Chand S/o Sh. Sant Ram,"Nagulatta, Chenani, Udhampur",5.52,1.1,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
17,17,18,01AJK0000051,Jammu & Kashmir,2006-07,Baramula,Khazir Mohammad Dar,"wagoora, Barahmulla-K (J&K)",1.9,0.38,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
18,18,19,01AJK0000286,Jammu & Kashmir,2006-07,Jammu,M/S Karamhans Food Pvt. Ltd,"EPIP, SIDCO Complex, Phase-III, Bari-brahmana, Jammu",6.93,1.39,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
19,19,20,01AJK0000199,Jammu & Kashmir,2007-08,Udhampur,Sh. Vidya Parkash S/o Sh. Bedi Ram,"Gharian Kalan, Chenani, Udhampur-J&K",5.52,1.1,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
20,20,21,01AJK0000306,Jammu & Kashmir,2007-08,Baramula,Mr.Abdul Rashid Lone,"Ushkara, Barahmulla",8.0,1.53,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
21,21,22,01AJK0000327,Jammu & Kashmir,2007-08,Kulgam,Mr. Ab. Samad. Tantray S/O Sh Gh. Mohd.Tantray,"Kachowallan, Arreh, Kulgam, Dist. Kulgam",7.7,1.3,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
22,22,23,01AJK0000344,Jammu & Kashmir,2007-08,Kulgam,Mr. Mohd. Ayoub Rather,"Sangas, Kulgam,",7.74,1.52,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
23,23,24,01AJK0000338,Jammu & Kashmir,2007-08,Anantnag,Mr. Mohd. Ramzan Malik,"munad Gujjan, Kulgam Anantnag",7.7,1.3,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
24,24,25,01AJK0000337,Jammu & Kashmir,2007-08,Anantnag,Mr. Mohd. Yousuf Ganie,"Kandipora, Kulgam, Dist. Kulgam",7.7,1.3,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
25,25,26,01AJK0000317,Jammu & Kashmir,2007-08,Anantnag,Mr. Mohd. Yousuf Malik,"D.K. Marg (Noorabad), Kulgam, Anantnag-K (J&K)",7.7,1.3,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
26,26,27,01AJK0000335,Jammu & Kashmir,2007-08,Kulgam,Mr. Nisar Ahmad Khan,"Munad Gujjan, P.O. Yaripora, Kulgam Anantnag",7.7,1.3,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
27,27,28,01AJK0000334,Jammu & Kashmir,2007-08,Kulgam,Mr. Qamir-ul-din,"D.K. Marg P.O. Danew, kulgam (J&K)",7.7,1.13,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
28,28,29,01AJK0000387,Jammu & Kashmir,2007-08,Pulwama,Sh. Abdul Gani Wani S/o Sh. Abdul Ahad Wani,"Achgoza, P.O. Keller, Pulwama-191112",4.6,0.68,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
29,29,30,01AJK0000351,Jammu & Kashmir,2007-08,Baramula,Mr. Gh. Nabi Lone S/O Sh Abdul Kabir Lone,"Ushkara, Barahmulla",8.0,1.5,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
30,30,31,01AJK0000384,Jammu & Kashmir,2007-08,Udhampur,Sh. Mulakh Raj S/o Sh. Munshi Ram,"Nagulta, Chenani, Udhampur",4.07,0.81,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
31,31,32,01AJK0000398,Jammu & Kashmir,2008-09,Udhampur,Sh. Darshan Kumar S/o Sh. Amarnath,"Jakhed, Ramnagar, Udhampur",5.7,1.07,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
32,32,33,01AJK0000308,Jammu & Kashmir,2008-09,Baramula,Mr. Ali Mohd. Dar,"Ushkara, Barahmulla",8.0,1.52,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
33,33,34,01AJK0000390,Jammu & Kashmir,2008-09,Udhampur,Sh Bansi Lal S/o Lt. Sh. Bhagat Ram,"village Mandal Tandhar, Chenani, Udhampur",4.97,0.97,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
34,34,35,01AJK0000395,Jammu & Kashmir,2008-09,Udhampur,Sh. Rattan Singh S/o Sh. Kirpa Ram,"Maizra, Panchari, Udhampur",5.7,1.09,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
35,35,36,01AJK0000399,Jammu & Kashmir,2008-09,Udhampur,Sh. Suram Chand S/o Sh. Faquir Chand,"Thoplal, Ramnagar, Udhampur",4.07,0.8,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
36,36,37,01AJK0000339,Jammu & Kashmir,2008-09,Kulgam,Mr. Bashir Ahmad Dar,"Sangas, Kulgam,",4.73,0.8,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
37,37,38,01AJK0000375,Jammu & Kashmir,2008-09,Kulgam,Mr. Mohd. Maqbool Raina S/O Sh Assadullah Raina,"Arre, Kulgam,",7.7,1.32,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
38,38,39,01AJK0000527,Jammu & Kashmir,2008-09,Udhampur,Mr. Naseeb Chand S/o Lt. Sh. Sant Ram,"R/O Tamator Morh, Kud, Chenani Udhampur",9.71,1.86,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
39,39,40,01AJK0000397,Jammu & Kashmir,2008-09,Udhampur,Sh. Suraj Chand S/o ShBishasher Chand,"Bashat, Chenani, Udhampur",6.95,1.35,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
40,40,41,01AJK0000389,Jammu & Kashmir,2008-09,Udhampur,Sh.Sajjad Hussain S/o Sh.Sh. Gulzar Hussain,"Bashat, Chenani, Udhampur",6.97,1.35,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
41,41,42,01AJK0000476,Jammu & Kashmir,2008-09,Udhampur,Sh. Jumma Mohd. S/O Sh. Ghulab Din,"Baishty, P.O. Chenani, Tehsil, Chenani, Udhampur",5.67,1.13,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
42,42,43,01AJK0000477,Jammu & Kashmir,2008-09,Rajauri,Sh. Said Mohd. S/o Sh Aman Din,"Mehari Gujjran P.O. Dassal Jattan, Rajouri",4.33,0.87,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
43,43,44,01AJK0000278,Jammu & Kashmir,2009-10,Ganderbal,Shri. Mustaq Ahmad Kambay S/o Sh. Mohuddin Kambay,"Ganderbal, kangan, Srinagar-J&K",4.5,0.82,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
44,44,45,01AJK0000453,Jammu & Kashmir,2009-10,Ganderbal,Mohd. Shafi Mir S/o Sh. Abdul Aziz Mir,"Ahan, Tehsil Lar, Ganderbal, Srinagar",6.24,1.02,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
45,45,46,01AJK0000589,Jammu & Kashmir,2009-10,LehLadakh,Mr. Tsewang Rigzin S/o Sh. Tsering Narboo Lampa,"Nurla, Leh Ladakh(J&K)",7.15,1.3,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
46,46,47,01AJK0000720,Jammu & Kashmir,2010-11,Kulgam,Abdul Hamid Dar S/o Gull Muhammad Dar,"Chakpora, P.O. Ashmuji Kulgam,",7.17,1.21,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
47,47,48,01AJK0000685,Jammu & Kashmir,2010-11,Kulgam,Mr.Abdul Aziz Sheikh S/o Abdul Khaliq Sheikh,"Village Soper, Kulgam",7.17,0.86,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
48,48,49,01AJK0000413,Jammu & Kashmir,2010-11,Kulgam,Sh. Ab. Majeed Ganie S/o Sh. Mohd. Ramzan Ganie,"Tamiloo, Teh. & Distt. Kulgam",7.7,0.81,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
49,49,50,01AJK0000525,Jammu & Kashmir,2010-11,Udhampur,Sh. Naseeb Chand S/o Lt. Sh. Sant Ram,"R/O Tamator Morh, Kud. Udhampur(J&K)",5.0,0.82,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
50,50,51,01AJK0000610,Jammu & Kashmir,2010-11,Jammu,M/S.V.K.C. Nuts Pvt. Ltd. Director Gagan Jain S/o shri V.K. Jain.,"51A,50B, Birpur Industrial Estate, Bari Brahmana, Jammu.",4.93,0.85,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
51,51,52,01AJK0CS000001,Jammu & Kashmir,2010-11,Pulwama,Fruit Master Agro Fresh (Pvt) Ltd.,"Village-Lassipora, Tal &Distt.- Pulwama (J & K)",1811.52,1665.57,NHB,Completed,COLD / CA STORAGECA STORAGE15000.00MT
52,52,53,01AJK0000686,Jammu & Kashmir,2010-11,Kulgam,Mr.Safdar Ali Khan S/o Haji Ab. Satar Khan,"Guddar , P.O. Guddar, Kulgam-192231",7.17,0.9,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
53,53,54,01AJK0000609,Jammu & Kashmir,2011-12,Kulgam,Mr.Haji Ab. Ahad Rather S/o Gh. Rasool Rather,"Kacho Hallan, P.O. Arreh , Kulgam",18.85,0.97,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
54,54,55,01AJK0000749,Jammu & Kashmir,2011-12,Shopian,Shopian Apple Transport Co. Prop-Latif Ahmad Wani & Others,"Village-Imam Sahib, Dist-Shopian (Jammu & Kashmir)",152.59,60.0,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORTNA45.00TONNES
55,55,56,01AJK0000751,Jammu & Kashmir,2011-12,Jammu,Sanjay Chopra,"Village-Gandhi Nagar, Taluka & Dist-Jammu (Jammu & Kashmir)",18.0,9.0,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORTNA12.00TONNES
56,56,57,01AJK0000584,Jammu & Kashmir,2011-12,Kulgam,Mr. Ali Mohd. Malik S/o Sh. Ab. Aziz Malik,"D.K. Marg, Damhal Hanjipora Kulgam",3.38,0.59,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
57,57,58,01AJK0CS000002,Jammu & Kashmir,2011-12,Pulwama,"Golden Apple, Prop-Ehsan Javaid Syed","Village-Lassipora, Taluka-Pulwama, Dist-Pulwama (Jammu & Kashmir)",1097.81,462.33,NHB,Completed,COLD / CA STORAGECA STORAGE101520.00MT
58,58,59,01AJK0000744,Jammu & Kashmir,2012-13,Jammu,"Arham Foods, Prop-Veena Jain","Plot No-52/A, Birpur Industrial Complex, Bari Brahmana, Dist-Jammu (Jammu & Kashmir)",153.9,60.0,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORTNA5.00TONNES
59,59,60,01AJK0000696,Jammu & Kashmir,2012-13,Kulgam,Mr.Muhammad Abdullah Bhat S/o Lassa Bhat,Arreh Kulgam(J&K),18.85,0.94,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
60,60,61,01AJK0000412,Jammu & Kashmir,2012-13,Kulgam,Sh. muzzafer Ah. Indrabi S/o Sh Gh. Mustafa Indrabi,"Nagam(Noorabad), P.O. D.K. Marg, tehsil D.H.Pora, Kulgam",7.7,0.5,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
61,61,62,01AJK0000581,Jammu & Kashmir,2012-13,Kulgam,Sona-ullah-Malik S/o Sh Ab. Majid Malik,"D.k. Marg Tehsil Damhal Hanjipora, Kulgam",3.38,0.41,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
62,62,63,01AJK0000714,Jammu & Kashmir,2012-13,Kulgam,Mohd. Khalil Hajam S/o Abdul Ahad Hajam,"Munadgufan Kulgam,",18.85,0.87,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT1100.00BOX
63,63,64,01AJK0000736,Jammu & Kashmir,2012-13,Kulgam,Mr. Bashir Ahmad Rather S/o Muhammah Sabir Rather,Odoura Kulgam,7.17,0.45,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
64,64,65,01AJK0000752,Jammu & Kashmir,2013-14,Baramula,"KVB Agro Farms, Prop-Irfan Ahmad Wani","Village-Utikoo, Taluka-Pattan, Dist-Baramula (Jammu & Kashmir)",346.06,60.0,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA5.00TONNES
65,65,66,01AJK0000697,Jammu & Kashmir,2013-14,Anantnag,Mrs.Raja Banoo D/O Gh. Mohd. Bhat,"Brazloo, Tehsil & District Kulgam",18.85,1.16,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT1100.00BOX
66,66,67,01AJK0000766,Jammu & Kashmir,2014-15,Kulgam,Badshah Banana Ripening Chamber,"Village-Kulgam, Tal & Dist-Kulgam (Jammu & Kashmir)",160.75,45.21,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER0182.20TONNES
67,67,68,01AJK0000769,Jammu & Kashmir,2014-15,Pulwama,Uqab Industries (Prop : Kamran Bashir),"Village- Lassipora, Taluka- Lassipora, Distt. - Pulwama (Jammu & Kashmir)",95.36,42.08,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT015.00TONNES
68,68,69,01AJK0000758,Jammu & Kashmir,2015-16,Pulwama,Harshna Naturals,"SIDCO, Lassipura, Dist-Pulwama, Kashmir (Jammu & Kashmir)",443.64,60.0,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT015.00TONNES
69,69,70,01AJK0CS000004,Jammu & Kashmir,2016-17,Jammu,Ess Emm Gee Ice Factory & Cold Storage,"Food Zone, SIDCO , Industrial Complex, Village- Bari Brahmana, Taluka- Bari Brahmana, Dist.- Jammu (Jammu & Kashmir)",399.93,65.52,NHB,Completed,COLD / CA STORAGECA STORAGE22730.00MT
70,70,71,01AJK0CS000038,Jammu & Kashmir,2017-18,LehLadakh,Y.K. Agrotech OPC Pvt. Ltd.,"Village-Stok, Town-Leh, Dist-Lehladakh (Jammu & Kashmir)",797.7,130.63,NHB,Under Implementation,COLD / CA STORAGECOLD STORAGE285500.00MT
71,71,72,01AJK0CS000037,Jammu & Kashmir,2017-18,Pulwama,AL Noor Agri Fresh Pvt. Ltd.,"Village- Lassipora, Taluka- Pulwama, Distt.- Pulwama (Jammu & Kashmir)",6831.52,481.38,NHB,Completed,COLD / CA STORAGECA STORAGE276736.50MT
72,72,73,01AJK0000770,Jammu & Kashmir,2017-18,Pulwama,Premium Walnuts (Manmeet Singh),"Village- Lassipora, Taluka- Pulwama, Distt.- Pulwama (Jammu & Kashmir)",99.68,27.58,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA0.00NOT GIVEN
73,73,74,01AJK0CS000035,Jammu & Kashmir,2017-18,Samba,Snow Valley Cold Chain,"SIDCO E.P.I.P Kartholi Bari Brahmna Industrial Complex, Distt.- Samba (Jammu & Kashmir)",1528.0,297.32,NHB,Completed,COLD / CA STORAGECOLD STORAGE4191.20MT  COLD / CA STORAGECOLD STORAGE75397.64MT
74,74,75,01AJK0000786,Jammu & Kashmir,2017-18,Pulwama,Fruit Master Agro Fresh Pvt. Ltd.,"Village-Lassipora, Taluka-Pulwama, Dist-Pulwama (Jammu & Kashmir)",192.14,50.75,NHB,Completed,POST HARVEST INFRASTRUCTUREREFER VANNA5.00NOS
75,75,76,01AJK0CS000041,Jammu & Kashmir,2018-19,Jammu,Bahu Cold Storage & Ice Factory (P) Ltd.,"New Fruit Market, Narwal, Dist-Jammu (Jammu & Kashmir)",1159.0,186.24,NHB,Completed,COLD / CA STORAGECOLD STORAGE65094.00MT
76,76,77,01AJK0CS000039,Jammu & Kashmir,2020-21,Jammu,Amar Cold Storage,"Village-Narwal Bala, Tehsil-Bahu, Dist-Jammu (Jammu & Kashmir)",1326.0,368.2,NHB,Completed,COLD / CA STORAGECA STORAGE175062.81MT
77,77,78,01AJK0CS000040,Jammu & Kashmir,2020-21,Jammu,Highland Industries,"SIDCO Food Zone, Industrial Complex, Bara Brahamana, Jammu (Jammu & Kashmir)",824.0,266.3,NHB,Completed,COLD / CA STORAGECOLD STORAGE65100.00MT
0,0,1,20JH200100000267,Jharkhand,2001-02,Hazaribagh,Hazaribagh Cold Storage,"Shri. Subhas Kumar, Smt. Rani Kumari; At- Kolaghatti, P.O- Reformatory School, Hazaribagh, Jharkhand",0.0,22.66,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03654.00MT
1,1,2,20JH200100000268,Jharkhand,2001-02,Ramgarh,Patni Sheetgriha,"Shri. Ramesh Kumar Jain, Shri. Prashant Kumar Jain; Marar village, Ramgarh",0.0,45.48,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
2,2,3,NCDC-JH-2002-26,Jharkhand,2002-03,Ranchi,"Chotanagpur Adivasi Cooperative Vegetable Marketing Federation Ltd. (VEGFED), Purulia Road, Distt. Ranchi.","Chotanagpur Adivasi Cooperative Vegetable Marketing Federation Ltd. (VEGFED), Purulia Road, Distt. Ranchi.",200.0,50.0,Through NCDC,Under Implementation,COLD / CA STORAGECOLD STORAGE15000.00MT
3,3,4,20JH200200000269,Jharkhand,2002-03,Dhanbad,Dhanbad Cold Storage,"Shri. Rajendra Kumar Agarwal, Shri. Jai Prakash Kejriwal, Shri. Ved Prakash Kejriwal, Shri. Ajay Kumar Agarwal; Lalbazar, P.O-Jharia-828111, Dhanbad; (360241,464133,200468)",0.0,31.87,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03150.00MT
4,4,5,20JH200200000271,Jharkhand,2002-03,Ramgarh,Gola Cold Storage,"Shri. G.C.Agarwal, Shri. Manish Anand, Smt. Renu Agarwal, Smt. Neelam Anand; Rajappa Road, Gola;(06553-74223)",0.0,31.82,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03838.00MT
5,5,6,20JH200200000270,Jharkhand,2002-03,Ranchi,Vardhan Cold Storage,"Shri. Krishna Kumar Garodia, Shri. Harshavardhan Garodia; Nagrmal Modi Seva Sadan Path, Barala Street, Upper Bazar, Ranchi-834001",0.0,30.4,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04000.00MT
6,6,7,20JH200300000274,Jharkhand,2003-04,Ranchi,Gangajali Cold Storage,"Shri. Gyan Prakash Budihia; Vill-Gari, Opposite Deepatoli Camp, RMCH, Ranchi-834009;(0651-3103068,2541956,2230949)",0.0,3.56,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02000.00MT
7,7,8,20JH20030000242,Jharkhand,2003-04,Hazaribagh,Hazaribag Co-operative Cold Storage,Hazaribag,0.0,3.25,NHB,Completed,COLD / CA STORAGECOLD STORAGE0325.00MT
8,8,9,20JH200300000272,Jharkhand,2003-04,Hazaribagh,Padmathi Cold Storage,"Shri. Ramesh Kumar Jain, Shri. Praveen Kumar Jain; Kamta, P.O-Gola, Hazaribagh;(222020,222595)",0.0,49.05,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06000.00MT
9,9,10,20JH200300000273,Jharkhand,2003-04,Hazaribagh,R.K. Cold Storage,"Shri. Shanker Lal, Smt. Uma Gupta, Shri. B N Gupta, Smt. Usha Gupta; Vill & Post- Kuju, Hazaribagh-825316;(06553-281232,281520)",0.0,41.62,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
10,10,11,20JH200400000276,Jharkhand,2004-05,Hazaribagh,Ankur Cold Storage,"Shri. Ram Kishore Prasad, Shri. Subhash Kumar; Kolghatti, Hazaribagh-825301",0.0,41.6,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04175.00MT
11,11,12,20JH200400000278,Jharkhand,2004-05,Hazaribagh,Bero Cold Storage,"Shri. Subhas Kumar, Smt. Urmila Devi; Kolghatti, Hazaribagh; Boddom Bazar, Hazaribagh",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08833.00MT
